,Test,=,==,===,====,=====,======,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
0,HnRNPL-L,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.794794795,0.658229036,0.183266932,0.145362121,0.450980392,0.115,,,,,,,,,,,,,,,
2,fold_2,0.802802803,0.622165207,0.139737991,0.15189558,0.551724138,0.08,,,,,,,,,,,,,,,
3,fold_3,0.801801802,0.641964956,0.181818182,0.169420829,0.523809524,0.11,,,,,,,,,,,,,,,
4,fold_4,0.806806807,0.654937422,0.142222222,0.176085119,0.64,0.08,,,,,,,,,,,,,,,
5,fold_5,0.797797798,0.659968711,0.240601504,0.18919812,0.484848485,0.16,,,,,,,,,,,,,,,
6,mean,0.800800801,0.647453066,0.177529366,0.166392354,0.530272508,0.109,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.004641451,0.015798526,0.040939561,0.017858132,0.072271444,0.032863353,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,IGF2BP1-3,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.779,0.66305625,0.119521912,0.054546018,0.294117647,0.075,,,,,,,,,,,,,,,
2,fold_2,0.801,0.672425,0.123348018,0.132647832,0.518518519,0.07,,,,,,,,,,,,,,,
3,fold_3,0.79,0.64073125,0.173228346,0.123884104,0.407407407,0.11,,,,,,,,,,,,,,,
4,fold_4,0.782,0.67630625,0.1484375,0.084811472,0.339285714,0.095,,,,,,,,,,,,,,,
5,fold_5,0.773,0.725775,0.203508772,0.107572496,0.341176471,0.145,,,,,,,,,,,,,,,
6,mean,0.785,0.67565875,0.15360891,0.100692384,0.380101152,0.099,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.010839742,0.031230066,0.035282102,0.031575437,0.087291456,0.030290262,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,MOV10,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.804,0.79581875,0.413173653,0.309699935,0.514925373,0.345,,,,,,,,,,,,,,,
2,fold_2,0.798,0.79084375,0.37654321,0.274590611,0.491935484,0.305,,,,,,,,,,,,,,,
3,fold_3,0.827,0.794675,0.375451264,0.343221813,0.675324675,0.26,,,,,,,,,,,,,,,
4,fold_4,0.791,0.78443125,0.42739726,0.303087002,0.472727273,0.39,,,,,,,,,,,,,,,
5,fold_5,0.81,0.79495,0.362416107,0.289255846,0.551020408,0.27,,,,,,,,,,,,,,,
6,mean,0.806,0.79214375,0.390996299,0.303971041,0.541186643,0.314,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.013693064,0.004715945,0.027767932,0.025758355,0.080454538,0.054013887,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,mut-FUS,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.831,0.8585375,0.54691689,0.445475782,0.589595376,0.51,,,,,,,,,,,,,,,
2,fold_2,0.816,0.8418375,0.406451613,0.327591421,0.572727273,0.315,,,,,,,,,,,,,,,
3,fold_3,0.822,0.85716875,0.5,0.398230322,0.570512821,0.445,,,,,,,,,,,,,,,
4,fold_4,0.81,0.8288875,0.463276836,0.354620982,0.532467532,0.41,,,,,,,,,,,,,,,
5,fold_5,0.811,0.84358125,0.455331412,0.350177713,0.537414966,0.395,,,,,,,,,,,,,,,
6,mean,0.818,0.8460025,0.47439535,0.375219244,0.560543593,0.415,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.008689074,0.012226449,0.052484232,0.046864878,0.024571489,0.071326713,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,NSUN2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.797,0.75674375,0.267148014,0.202557136,0.480519481,0.185,,,,,,,,,,,,,,,
2,fold_2,0.806,0.775325,0.326388889,0.259446959,0.534090909,0.235,,,,,,,,,,,,,,,
3,fold_3,0.809,0.7584875,0.348122867,0.278894469,0.548387097,0.255,,,,,,,,,,,,,,,
4,fold_4,0.804,0.76726875,0.309859155,0.245144149,0.523809524,0.22,,,,,,,,,,,,,,,
